순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,이병헌,두산,2.89,77,6,1,1,22,0.857,65 1/3,61,3,34,3,57,25,21,1.45
2,노경은,SSG,2.96,76,8,5,0,37,0.615,82,70,10,32,4,67,30,27,1.24
3,김민수,KT,5.2,74,5,3,0,12,0.625,79 2/3,83,8,33,1,73,55,46,1.46
3,조병현,SSG,3.68,74,4,6,10,12,0.4,71,52,8,31,2,93,34,29,1.17
5,장현식,KIA,3.89,73,5,4,0,16,0.556,74,73,8,33,2,75,39,32,1.43
5,김상수,롯데,4.09,73,8,4,2,17,0.667,72 2/3,69,5,26,4,56,39,33,1.31
7,김진성,LG,3.97,71,3,3,1,27,0.5,70 1/3,62,11,23,7,61,34,31,1.21
7,곽도규,KIA,3.56,71,4,2,2,16,0.667,55 2/3,43,4,34,4,64,24,22,1.38
9,김민,KT,4.36,70,8,4,0,21,0.667,76 1/3,83,5,27,2,76,38,37,1.44
10,한두솔,SSG,4.99,68,2,1,0,3,0.667,57 2/3,61,3,31,3,67,39,32,1.6
10,한승혁,한화,5.19,68,5,5,0,19,0.5,60 2/3,61,2,36,6,62,39,35,1.6
12,김재열,NC,2.03,67,1,4,2,12,0.2,66 2/3,54,3,26,0,66,16,15,1.2
13,홍건희,두산,2.73,65,4,3,9,11,0.571,59 1/3,55,5,33,5,45,22,18,1.48
13,전상현,KIA,4.02,65,10,5,7,18,0.667,65,53,5,20,5,54,31,29,1.12
13,김재윤,삼성,4.09,65,4,8,11,25,0.333,66,58,13,25,1,51,37,30,1.26
16,박영현,KT,3.62,64,10,2,25,0,0.833,74 2/3,60,12,22,0,86,31,30,1.1
16,주현상,한화,2.4,64,8,4,23,2,0.667,71 1/3,48,9,8,1,64,19,19,0.79
18,이로운,SSG,5.95,63,1,3,1,9,0.25,56,67,4,43,3,41,43,37,1.96
18,임정호,NC,4.58,63,1,6,2,8,0.143,53,53,3,23,3,42,31,27,1.43
18,구승민,롯데,4.63,63,5,3,0,12,0.625,56 1/3,65,5,34,6,61,35,29,1.76
18,박상원,한화,4.71,63,3,3,2,16,0.5,65,55,2,21,7,64,36,34,1.17
18,이민우,한화,3.83,63,2,1,1,10,0.667,54,55,5,23,1,48,25,23,1.44
23,문승원,SSG,4.5,62,6,1,20,6,0.857,60,67,10,24,1,53,33,30,1.52
24,유영찬,LG,3.02,61,7,5,26,1,0.583,62 2/3,61,2,30,3,74,24,21,1.45
25,김택연,두산,2.08,60,3,2,19,4,0.6,65,51,2,31,4,78,17,15,1.26
25,임창민,삼성,3.98,60,2,1,1,28,0.667,54 1/3,60,4,30,2,50,26,24,1.66
27,이승현,삼성,4.4,59,6,1,1,9,0.857,59 1/3,65,6,23,3,51,30,29,1.48
28,이영하,두산,4.12,58,5,4,2,4,0.556,63 1/3,62,4,36,2,57,34,29,1.55
28,오승환,삼성,4.91,58,3,9,27,2,0.25,55,75,9,18,3,42,36,30,1.69
30,이용찬,NC,6.13,57,3,9,16,2,0.25,54 1/3,82,6,21,2,49,48,37,1.9
30,김규연,한화,7.18,57,1,0,0,4,1.000,57 2/3,66,6,28,4,40,50,46,1.63
32,한현희,롯데,5.3,56,4,3,0,8,0.571,71 1/3,86,6,24,9,64,43,42,1.54
33,최지강,두산,3.24,55,3,1,1,15,0.750,50,48,6,24,6,45,19,18,1.44
33,김원중,롯데,3.61,55,3,6,25,0,0.333,62 1/3,58,4,31,1,68,27,25,1.43
33,김태훈,삼성,4.03,55,3,2,0,23,0.600,51 1/3,49,6,19,4,36,24,23,1.32
36,이준영,KIA,4.09,54,3,0,0,9,1.000,33,36,5,16,2,30,21,15,1.58
36,최지민,KIA,5.36,54,2,3,3,11,0.400,43 2/3,42,2,40,4,33,28,26,1.88
36,진해수,롯데,6.18,54,2,1,0,5,0.667,27 2/3,36,5,10,3,22,21,19,1.66
36,주승우,키움,4.26,54,4,6,14,5,0.400,50 2/3,49,3,17,5,43,24,24,1.3
40,김강률,두산,3.0,53,2,2,1,12,0.500,42,41,1,21,2,33,16,14,1.48
41,김유영,LG,3.86,52,1,2,1,6,0.333,46 2/3,50,2,16,4,42,27,20,1.41
42,박치국,두산,6.13,51,1,3,1,3,0.250,47,57,8,18,10,35,32,32,1.6
42,정해영,KIA,2.59,51,2,3,31,1,0.400,48 2/3,46,8,15,1,49,14,14,1.25
44,한재승,NC,4.06,50,1,2,0,6,0.333,44 1/3,36,2,27,3,43,21,20,1.42
45,서진용,SSG,5.76,49,0,1,0,6,0.000,45 1/3,49,5,25,0,36,34,29,1.63
45,류진욱,NC,6.02,49,2,1,0,10,0.667,40 1/3,51,4,19,2,35,30,27,1.74
47,주권,KT,6.79,46,1,1,0,0,0.500,57,76,7,10,3,30,48,43,1.51
47,김성민,키움,4.34,46,3,4,0,14,0.429,45 2/3,45,5,17,1,34,24,22,1.36
49,이지강,LG,4.09,45,2,3,1,1,0.400,50 2/3,55,3,26,2,38,31,23,1.6
50,우규민,KT,2.51,44,3,1,1,4,0.750,43,47,1,2,2,39,14,12,1.14
50,조상우,키움,3.18,44,0,1,6,9,0.000,39 2/3,40,2,20,0,36,17,14,1.51
52,이우찬,LG,8.82,42,3,2,0,6,0.600,33 2/3,42,2,30,1,31,35,33,2.14
52,김영규,NC,3.15,42,4,2,1,14,0.667,45 2/3,40,3,14,1,48,19,16,1.18
52,문성현,키움,6.57,42,1,2,3,2,0.333,38 1/3,54,3,25,2,31,28,28,2.06
55,손동현,KT,5.56,41,1,2,1,4,0.333,45 1/3,49,5,20,1,26,31,28,1.52
56,김선기,키움,5.18,40,6,4,0,0,0.600,74 2/3,86,12,29,6,43,46,43,1.54
57,김범수,한화,5.29,39,0,0,0,4,-,34,33,11,20,5,38,20,20,1.56
58,박진,롯데,4.38,38,2,4,1,0,0.333,49 1/3,60,4,11,2,35,28,24,1.44
59,김시훈,NC,4.61,37,3,4,0,5,0.429,105 1/3,109,7,58,3,72,60,54,1.59
59,김대유,KIA,8.28,37,0,0,0,8,-,25,35,4,12,2,26,23,23,1.88
61,김대현,LG,5.56,36,2,0,1,1,1.000,34,33,6,18,2,29,21,21,1.5
61,이준호,NC,7.91,36,3,5,0,2,0.375,46 2/3,68,7,26,3,41,41,41,2.01
61,임기영,KIA,6.45,36,6,2,0,2,0.750,44 2/3,60,8,17,1,36,35,32,1.72
61,전미르,롯데,5.88,36,1,5,1,5,0.167,33 2/3,33,4,21,1,34,28,22,1.6
61,이상민,삼성,4.03,36,2,1,1,8,0.667,29,31,2,6,4,11,13,13,1.28
66,백승현,LG,9.11,35,2,1,2,1,0.667,26 2/3,33,3,21,2,14,28,27,2.03
66,김명신,두산,9.37,35,2,1,0,4,0.667,32 2/3,63,8,8,2,25,34,34,2.17
66,정철원,두산,6.61,35,2,1,6,0,0.667,31 1/3,38,5,25,5,37,24,23,2.01
66,김도현,KIA,4.92,35,4,6,0,3,0.400,75,87,9,31,9,59,45,41,1.57
66,최지광,삼성,2.23,35,3,2,0,7,0.600,36 1/3,22,1,21,4,38,9,9,1.18
66,김서현,한화,3.72,35,1,2,0,9,0.333,36 1/3,27,0,30,4,39,19,15,1.57
66,황준서,한화,5.4,35,2,8,0,1,0.200,71 2/3,80,9,51,5,70,44,43,1.83
66,김동욱,키움,4.41,35,2,1,0,2,0.667,34 2/3,28,4,5,2,16,17,17,0.95
74,박명근,LG,6.39,33,2,2,1,8,0.500,25 1/3,29,6,12,3,13,20,18,1.62
75,최민준,SSG,7.78,32,1,0,0,0,1.000,39 1/3,61,9,24,3,40,36,34,2.16
75,이교훈,두산,7.53,32,1,1,0,0,0.500,34 2/3,43,7,17,2,25,32,29,1.73
75,김대우,삼성,5.5,32,0,0,0,5,-,34 1/3,42,4,9,3,23,24,21,1.49
75,김연주,키움,7.06,32,1,1,0,1,0.500,29 1/3,34,5,17,5,15,24,23,1.74
79,송명기,NC,6.37,31,2,1,0,3,0.667,35 1/3,40,4,15,3,30,27,25,1.56
79,윌커슨,롯데,3.99,31,11,8,0,0,0.579,189 2/3,204,18,26,2,166,90,84,1.21
81,엔스,LG,4.19,30,13,6,0,0,0.684,167 2/3,169,16,50,6,157,84,78,1.31
81,성재헌,KT,7.31,30,0,0,0,1,-,32,46,1,16,5,20,29,26,1.94
81,쿠에바스,KT,3.97,30,7,12,0,0,0.368,170,153,16,57,7,153,82,75,1.24
81,김광현,SSG,4.99,30,11,10,0,0,0.524,157,159,24,69,6,148,93,87,1.45
81,곽빈,두산,4.24,30,15,9,0,0,0.625,167 2/3,142,11,76,6,154,83,79,1.3
81,박세웅,롯데,4.78,30,6,11,0,0,0.353,173 1/3,188,13,56,11,124,103,92,1.41
81,장시환,한화,5.13,30,2,2,0,2,0.500,33 1/3,34,3,22,1,28,27,19,1.68
81,헤이수스,키움,3.68,30,13,11,0,0,0.542,171 1/3,171,22,44,14,178,78,70,1.25
81,후라도,키움,3.36,30,10,8,0,0,0.556,190 1/3,185,19,32,9,169,78,71,1.14
90,엄상백,KT,4.88,29,13,10,0,0,0.565,156 2/3,164,26,42,7,159,88,85,1.31
90,이상동,KT,5.34,29,0,1,0,3,0.000,32,42,3,14,3,30,20,19,1.75
90,오원석,SSG,5.03,29,6,9,0,1,0.400,121 2/3,122,17,65,13,112,72,68,1.54
90,양현종,KIA,4.1,29,11,5,0,0,0.688,171 1/3,174,21,41,6,129,86,78,1.25
94,손주영,LG,3.79,28,9,10,0,1,0.474,144 2/3,157,11,54,10,112,71,61,1.46
94,박정수,두산,5.22,28,1,2,0,3,0.333,29 1/3,38,2,12,2,22,18,17,1.7
94,원태인,삼성,3.66,28,15,6,0,0,0.714,159 2/3,150,17,42,7,119,68,65,1.2
94,최성훈,삼성,6.92,28,0,1,0,3,0.000,13,14,1,9,1,10,10,10,1.77
94,코너,삼성,3.43,28,11,6,0,0,0.647,160,135,21,40,19,158,67,61,1.09
94,류현진,한화,3.87,28,10,8,0,0,0.556,158 1/3,182,12,33,3,135,78,68,1.36
94,하영민,키움,4.37,28,9,8,0,0,0.529,150 1/3,168,8,58,5,101,82,73,1.5
101,정우영,LG,4.76,27,2,1,0,3,0.667,22 2/3,31,0,11,6,17,15,12,1.85
101,벤자민,KT,4.49,27,11,8,0,0,0.579,146 1/3,136,27,44,4,150,84,73,1.23
101,최준용,롯데,5.4,27,1,2,0,3,0.333,21 2/3,28,2,14,1,12,13,13,1.94
101,최하늘,삼성,5.34,27,1,1,0,1,0.500,32,26,2,16,4,18,20,19,1.31
105,이종준,LG,4.32,26,0,2,0,1,0.000,25,26,4,15,0,28,13,12,1.64
105,최동환,LG,6.95,26,0,1,0,2,0.000,22,35,4,9,0,14,18,17,2.0
105,박시영,KT,4.62,26,0,1,1,4,0.000,25 1/3,27,4,7,1,23,13,13,1.34
105,고효준,SSG,8.18,26,2,1,0,5,0.667,22,23,4,20,1,27,21,20,1.95
105,송영진,SSG,5.8,26,5,10,0,0,0.333,99 1/3,112,10,51,1,67,74,64,1.64
105,하트,NC,2.69,26,13,3,0,0,0.813,157,124,11,38,11,182,51,47,1.03
105,네일,KIA,2.53,26,12,5,0,0,0.706,149 1/3,154,11,35,9,138,69,42,1.27
105,김강현,롯데,3.55,26,0,0,0,0,-,25 1/3,28,2,18,2,24,13,10,1.82
105,레예스,삼성,3.81,26,11,4,0,0,0.733,144,159,15,30,7,114,65,61,1.31
105,김기중,한화,6.55,26,5,4,0,0,0.556,56 1/3,79,8,26,6,36,42,41,1.86
105,김재웅,키움,3.42,26,0,2,0,7,0.000,23 2/3,24,2,12,1,19,9,9,1.52
116,임찬규,LG,3.83,25,10,6,0,1,0.625,134,144,12,42,5,136,58,57,1.39
116,신민혁,NC,4.31,25,8,9,0,0,0.471,121,140,20,16,7,74,67,58,1.29
116,나균안,롯데,8.5,25,4,7,0,0,0.364,72,113,15,47,5,73,72,68,2.22
116,장민재,한화,3.18,25,1,1,0,0,0.500,28 1/3,46,2,7,1,16,10,10,1.87
120,최원태,LG,4.26,24,9,7,0,0,0.563,126 2/3,126,10,57,5,103,66,60,1.44
120,최원준,두산,6.46,24,6,7,0,0,0.462,110,125,21,34,10,72,79,79,1.45
120,황동하,KIA,4.39,24,5,6,0,0,0.455,98 1/3,103,13,42,7,80,61,48,1.47
120,반즈,롯데,3.16,24,9,6,0,0,0.600,145 1/3,133,18,44,5,165,54,51,1.22
120,임준섭,롯데,7.94,24,0,0,0,2,-,11 1/3,12,0,11,3,3,11,10,2.03
120,이승민,삼성,8.23,24,1,4,0,0,0.200,47,68,14,26,2,23,45,43,2.0
120,조영건,키움,7.68,24,2,1,0,1,0.667,36 1/3,48,7,23,1,30,35,31,1.95
127,앤더슨,SSG,4.07,23,10,3,0,0,0.769,110 2/3,97,11,51,8,150,55,50,1.34
127,최성영,NC,6.26,23,1,0,1,1,1.000,41 2/3,61,7,16,0,28,36,29,1.85
127,김사윤,KIA,4.62,23,0,1,1,0,0.000,37,40,2,25,5,36,29,19,1.76
127,최이준,롯데,7.3,23,3,0,0,0,1.000,24 2/3,40,3,16,1,17,22,20,2.27
131,원상현,KT,7.03,22,2,5,0,1,0.286,65 1/3,105,6,31,2,59,54,51,2.08
131,엘리아스,SSG,4.08,22,7,7,0,0,0.500,123 2/3,126,13,30,6,104,59,56,1.26
133,문동주,한화,5.17,21,7,7,0,0,0.500,111 1/3,148,14,38,4,96,71,64,1.67
133,양지율,키움,6.27,21,0,2,0,3,0.000,18 2/3,16,1,13,2,7,13,13,1.55
135,배재환,NC,7.32,20,0,1,0,0,0.000,19 2/3,20,5,15,0,13,17,16,1.78
135,이재학,NC,5.77,20,3,11,0,0,0.214,98 1/3,101,17,42,4,88,66,63,1.45
135,김건국,KIA,7.86,20,0,1,0,0,0.000,34 1/3,48,5,14,2,20,33,30,1.81
135,조동욱,한화,6.15,20,1,2,0,0,0.333,41,55,5,13,6,32,33,28,1.66
139,켈리,LG,4.51,19,5,8,0,0,0.385,113 2/3,131,13,25,6,69,65,57,1.37
139,박민호,SSG,4.76,19,2,0,0,0,1.000,22 2/3,25,4,7,2,10,14,12,1.41
139,카스타노,NC,4.35,19,8,6,0,0,0.571,111 2/3,117,11,25,7,89,65,54,1.27
139,김진욱,롯데,5.31,19,4,3,0,0,0.571,84 2/3,89,13,44,3,87,54,50,1.57
139,바리아,한화,5.24,19,6,6,0,0,0.500,87 2/3,108,10,16,0,82,56,51,1.41
139,이상규,한화,5.83,19,1,3,0,0,0.250,29 1/3,36,5,15,1,23,19,19,1.74
139,김윤하,키움,6.04,19,1,6,0,2,0.143,79,93,6,35,4,43,57,53,1.62
139,김인범,키움,5.4,19,2,7,0,0,0.222,63 1/3,75,9,31,8,27,40,38,1.67
147,장지훈,SSG,6.75,18,0,0,0,0,-,21 1/3,29,3,10,1,10,16,16,1.83
147,양현,삼성,7.62,18,0,1,0,2,0.000,13,21,4,5,1,10,11,11,2.0
147,한승주,한화,11.45,18,0,2,0,0,0.000,22,45,2,10,3,14,31,28,2.5
150,임준형,LG,7.11,17,0,0,0,0,-,12 2/3,16,2,4,3,10,10,10,1.58
